lat,long,compon_n,compon_e,erro_n,erro_e
22,-96,-0.0025,-0.0064,0.001,0.0005
22,-80,0.0017,-0.0064,0.0003,0.0006
22,-79,0.0022,-0.0064,0.0003,0.0006
22,-78,0.0028,-0.0068,0.0003,0.0006
22,-77,0.0032,-0.007,0.0002,0.0005
22,-76,0.0037,-0.0069,0.0002,0.0005
22,-75,0.0039,-0.0071,0.0004,0.0005
22,-74,0.0043,-0.0072,0.0004,0.0002
22,-73,0.004,-0.0058,0.0008,0.0024
22,-72,0.0043,-0.0051,0.0009,0.0026
21,-106,-0.0034,-0.0047,0.0028,0.0018
21,-105,-0.0029,-0.0047,0.0028,0.0018
21,-104,-0.0025,-0.0048,0.003,0.0019
21,-103,-0.0022,-0.005,0.003,0.0018
21,-102,-0.0037,-0.006,0.001,0.0004
21,-101,-0.0034,-0.0061,0.001,0.0004
21,-100,-0.0037,-0.0058,0.0005,0.0004
21,-99,-0.0042,-0.0059,0.0007,0.0005
21,-98,-0.004,-0.0058,0.0006,0.0006
21,-97,-0.0035,-0.0058,0.0006,0.0006
21,-96,-0.003,-0.0058,0.0006,0.0006
21,-95,-0.0026,-0.0063,0.0005,0.0008
21,-94,-0.0021,-0.0068,0.0005,0.0002
21,-93,-0.002,-0.0068,0.0008,0.0002
21,-92,-0.0016,-0.0068,0.0008,0.0002
21,-91,-0.0019,-0.0068,0.0005,0.0001
21,-90,-0.0014,-0.0068,0.0005,0.0001
21,-89,-0.0009,-0.0067,0.0005,0.0001
21,-88,-0.001,-0.0068,0.0004,0.0003
21,-87,-0.0007,-0.0068,0.0002,0.0003
21,-86,-0.0002,-0.0068,0.0002,0.0003
21,-85,0.0004,-0.0068,0.0002,0.0003
21,-84,0.0004,-0.007,0.0006,0.0003
21,-83,0.0003,-0.0061,0.0002,0.0008
21,-82,0.0008,-0.006,0.0002,0.0008
21,-81,0.0013,-0.006,0.0002,0.0008
21,-80,0.0017,-0.0061,0.0003,0.0008
21,-79,0.0022,-0.0057,0.0003,0.0006
21,-78,0.0027,-0.0059,0.0003,0.0005
21,-77,0.0033,-0.0062,0.0003,0.0006
21,-76,0.0034,-0.0062,0.0002,0.0004
21,-75,0.004,-0.0064,0.0003,0.0005
21,-74,0.0037,-0.0043,0.0011,0.0024
21,-73,0.0038,-0.0046,0.0009,0.0026
21,-72,0.0045,-0.0035,0.0008,0.0028
21,-71,0.0051,-0.0036,0.0012,0.0023
20,-106,-0.0043,-0.0044,0.0029,0.0016
20,-105,-0.0028,-0.0039,0.003,0.0018
20,-104,-0.0017,-0.0036,0.0029,0.0018
20,-103,-0.0016,-0.0039,0.0029,0.0018
20,-102,-0.0018,-0.0045,0.003,0.0018
20,-101,-0.0042,-0.0052,0.0005,0.0004
20,-100,-0.0046,-0.0051,0.0008,0.0005
20,-99,-0.0041,-0.005,0.0008,0.0005
20,-98,-0.004,-0.0052,0.0006,0.0006
20,-97,-0.0035,-0.0052,0.0006,0.0006
20,-96,-0.0013,-0.0054,0.0029,0.0005
20,-95,-0.0007,-0.0056,0.0028,0.0007
20,-94,-0.0015,-0.0059,0.0024,0.0011
20,-93,-0.0022,-0.0066,0.0008,0.0007
20,-92,-0.0015,-0.0062,0.0008,0.0002
20,-91,-0.0015,-0.0066,0.0008,0.0007
20,-90,-0.0014,-0.0062,0.0005,0.0001
20,-89,-0.0009,-0.0063,0.0005,0.0003
20,-88,-0.001,-0.0064,0.0003,0.0004
20,-87,-0.0007,-0.0062,0.0002,0.0003
20,-86,-0.0002,-0.0062,0.0002,0.0003
20,-85,0.0004,-0.0048,0.0001,0.002
20,-84,0.0005,-0.0053,0.0006,0.0019
20,-83,0.0005,-0.0045,0.0007,0.0019
20,-82,0.0008,-0.0054,0.0002,0.0008
20,-81,0.0013,-0.0054,0.0002,0.0007
20,-80,0.0018,-0.0053,0.0002,0.0007
20,-79,0.0022,-0.0051,0.0003,0.0006
20,-78,0.0027,-0.0051,0.0003,0.0005
20,-77,0.0046,0.0019,0.0013,0.0061
